ori,Chimera,Category,Ligand,Concentraction (mM),mean,n,sd,sem
20200813,Leco,Amino acid,Ala,0.2604166666666667,1.9167482268333333,6,0.5733118403432952,0.23405357872284147
20200813,Leco,Amino acid,Ala,1.5625,2.805920518166667,6,0.7180723350593726,0.29315180321738316
20200813,Leco,Amino acid,Ala,3.125,5.935652291166667,6,0.9505734448309627,0.3880699838125858
20200813,Leco,Amino acid,Ala,6.25,10.681499474999999,6,1.105931100173045,0.4514944810164649
20200813,Leco,Amino acid,Ala,12.5,21.0427936985,6,2.308398661858198,0.9423998074126784
20200813,Leco,Amino acid,Ala,25,31.438593458499998,6,3.2721245394362537,1.3358392494097058
20200813,Leco,Amino acid,Ala,50,46.437488435,6,3.9628432938163813,1.617824000076722
20200813,Leco,Amino acid,Ala,100,55.714643579500006,6,3.644366849734824,1.487806536227416
20200813,Leco,Amino acid,Arg,0.02170138888888889,2.3471934545,6,0.44504341685758636,0.181688214114306
20200813,Leco,Amino acid,Arg,0.13020833333333334,5.813251939666666,6,0.8560711746308601,0.34948959355843984
20200813,Leco,Amino acid,Arg,0.78125,16.344129832500002,6,2.694462651038331,1.100009771005127
20200813,Leco,Amino acid,Arg,1.5625,21.208366390166667,6,1.979547726698836,0.8081469753164262
20200813,Leco,Amino acid,Arg,3.125,27.705914875,6,2.4255875431533185,0.990241967862784
20200813,Leco,Amino acid,Arg,6.25,31.307527797833334,6,2.887437055736484,1.1787912418264297
20200813,Leco,Amino acid,Arg,12.5,35.270785023,6,4.165835832005669,1.700695356769419
20200813,Leco,Amino acid,Arg,25,40.90484789766667,6,3.683215662421101,1.5036664975931395
20200813,Leco,Amino acid,Arg,50,43.0447571375,6,4.320023275766261,1.7636421170956738
20200813,Leco,Amino acid,His,0.13020833333333334,2.4217783641666664,6,0.31856050894827326,0.13005178318743071
20200813,Leco,Amino acid,His,0.78125,6.399483379333334,6,1.761153213792421,0.7189877887756942
20200813,Leco,Amino acid,His,1.5625,12.486956538333333,6,2.2923271470650053,0.9358386389731927
20200813,Leco,Amino acid,His,3.125,19.319827095833332,6,3.0596240074083054,1.2490862704866346
20200813,Leco,Amino acid,His,6.25,29.315882820666666,6,3.2297354403965035,1.3185339721924245
20200813,Leco,Amino acid,His,12.5,35.60353410366667,6,4.333191152459922,1.7690178802449
20200813,Leco,Amino acid,His,25,40.18641633916667,6,4.496775259173216,1.8358008121576601
20200813,Leco,Amino acid,His,50,42.92837081966667,6,3.219896065848345,1.314517064353905
20200813,Leco,Sugar,Fructose,0.2604166666666667,1.7698633698333333,6,0.3495888631560983,0.1427190557486825
20200813,Leco,Sugar,Fructose,1.5625,1.7274517991666667,6,0.371626849864602,0.15171602614769444
20200813,Leco,Sugar,Fructose,3.125,2.3831288653333336,6,0.7863417486485268,0.32102267460612577
20200813,Leco,Sugar,Fructose,6.25,2.374613982,6,0.44046217428148493,0.17981792966441232
20200813,Leco,Sugar,Fructose,12.5,2.708740348,6,0.39079281154808104,0.1595404972400707
20200813,Leco,Sugar,Fructose,25,3.2498535053333333,6,0.4864776532460745,0.19860367028658188
20200813,Leco,Sugar,Fructose,50,6.347628044333334,6,0.8156122293731014,0.3329722983229888
20200813,Leco,Sugar,Fructose,100,13.164168385333333,6,2.4212838204819085,0.9884849804395502
20200813,Leco,Sugar,Sucralose,0.2604166666666667,2.204515352,6,0.52820869014280325,0.21564029475895577
20200813,Leco,Sugar,Sucralose,1.5625,2.829303652833333,6,1.0664215666573273,0.4353647815016485
