species,ligand,conc_h,conc_l,n_h,n_l,mean_h,mean_l,sd_h,sd_l,sem_h,sem_l,pval_onesided,tval_onesided,df_onesided,stderr_onesided,sig (padj_onesided<0.01),sig (padj_onesided<0.05)
Leco,Sucrose,100,0.2604166666666667,6,6,16221.238601166668,2240.406912,1345.4557160249663,740.2868384735012,549.2799959620253,302.2208362597048,1.2557396750081588e-8,-22.30033287674148,7.7731838326944755,626.9337667039141,yes,yes
Leco,Fructose,100,0.2604166666666667,6,6,13164.168385333334,1769.8633698333333,2421.283820481909,349.5888631560983,988.4849804395504,142.71905574868248,3.4957000676588266e-5,-11.408738868159075,5.208369952487168,998.7348424023135,yes,yes
Leco,Sucralose,100,0.2604166666666667,6,6,67419.98966016667,2204.515352,5030.418118103776,528.2086901428033,2053.6595970343096,215.6402947589558,2.3353142613014318e-7,-31.582108284232977,5.1102427718034935,2064.9499938775393,yes,yes
Leco,Ala,100,0.2604166666666667,6,6,55714.6435795,1916.7482268333333,3644.3668497348235,573.3118403432952,1487.8065362274158,234.05357872284148,9.048689175466513e-8,-35.71990650733637,5.247327121030481,1506.1040358999073,yes,yes
Leco,Arg,50,0.02170138888888889,6,6,43044.7571375,2347.1934545,4320.0232757662625,445.04341685758635,1763.6421170956744,181.688214114306,1.1901465731240991e-6,-22.954378518705468,5.106116685358049,1772.9760642326105,yes,yes
Leco,His,50,0.13020833333333334,6,6,42928.37081966666,2421.7783641666665,3219.896065848345,318.5605089482733,1314.5170643539052,130.05178318743071,2.787872227848728e-7,-30.665097470867302,5.097872021693999,1320.934736763266,yes,yes
Neo,Sucrose,100,0.2604166666666667,6,6,7041.187454999999,2048.083094166667,946.9152471781088,365.6351753811296,386.5765308746292,149.2699352828009,5.754088019978167e-6,-12.049152502047784,6.458562099988412,414.39465223672306,yes,yes
Neo,Fructose,100,0.2604166666666667,6,6,6332.527141,1929.0820963333333,894.4560855451577,581.9536670010386,365.1601678188095,237.58158968235026,2.3248476162962266e-6,-10.1078641442221,8.589834365612223,435.64545207938727,yes,yes
Neo,Sucralose,100,0.2604166666666667,6,6,20911.93126216667,1669.8749635000001,1612.120819208084,453.56959840885304,658.1455684629027,185.16901315679516,1.0277984798053835e-7,-28.14408149991262,5.786647077444871,683.6981444474005,yes,yes
Neo,Ala,100,0.2604166666666667,6,6,50625.058624833335,1980.7833985,6216.42309097366,399.3582237596154,2537.84409969008,163.03731213254787,3.3494440051541133e-6,-19.128127365589624,5.041270215528103,2543.075665307495,yes,yes
Neo,Arg,50,0.0036168981481481486,6,6,72738.68198283334,1864.1773951666667,5743.046581784888,392.5528568189477,2344.588949068013,160.259032713041,3.3930817780610743e-7,-30.158598305552026,5.046719923934193,2350.059637042849,yes,yes
Neo,His,50,0.13020833333333334,6,6,37186.23768016667,2051.1521518333334,2961.665377851855,563.9170355875349,1209.0948274340308,230.21816574206053,2.2915542702426083e-7,-28.54614698970507,5.362066217012546,1230.8170885900824,yes,yes
