Panel,ori,chimera,ligand_2,pval_onesided,padj_onesided,sig (padj_onesided<0.05)
T1R1,"20211117,19_S2",AF1-18)-AF3-116),Sucrose,8.827386014668035e-4,8.827386014668035e-4,yes
T1R1,"20211117,19_S2",AF1-18)-AF3-116),Sucralose,1.9977652661540935e-4,3.995530532308187e-4,yes
T1R1,"20211117,19_S2",AF1-32)-AF3-116),Sucrose,8.752712033229858e-4,8.752712033229858e-4,yes
T1R1,"20211117,19_S2",AF1-32)-AF3-116),Sucralose,7.240279314638307e-4,8.752712033229858e-4,yes
T1R1,"20211117,19_S2",AF1-22)-AF3-116),Sucrose,5.628719754741408e-4,6.300497977273058e-4,yes
T1R1,"20211117,19_S2",AF1-22)-AF3-116),Sucralose,6.300497977273058e-4,6.300497977273058e-4,yes
T1R1,"20211117,19_S2",AF1-23)-AF3-116),Sucrose,5.6224226854657495e-8,5.6224226854657495e-8,yes
T1R1,"20211117,19_S2",AF1-23)-AF3-116),Sucralose,4.329683134306599e-8,5.6224226854657495e-8,yes
T1R1,"20211117,19_S2",AF1-25)-AF3-116),Sucrose,4.2887281624679347e-4,8.577456324935869e-4,yes
T1R1,"20211117,19_S2",AF1-25)-AF3-116),Sucralose,0.047775375,0.047775375,yes
T1R1,"20211117,19_S2",AF1-29)-AF3-116),Sucrose,5.235548772717966e-4,0.00104711,yes
T1R1,"20211117,19_S2",AF1-29)-AF3-116),Sucralose,0.028662561,0.028662561,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-116),Sucrose,0.001196246,0.001196246,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-116),Sucralose,0.001011923,0.001196246,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-133),Sucrose,0.001917699,0.003835399,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-133),Sucralose,0.16911697787946006,0.16911697787946006,
T1R3,"20211117,19_S3",AF1-18)-AF3-122),Sucrose,6.546724986048769e-4,6.546724986048769e-4,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-122),Sucralose,1.1554449181963306e-4,2.3108898363926613e-4,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-121),Sucrose,0.040432524863925984,0.071954952,
T1R3,"20211117,19_S3",AF1-18)-AF3-121),Sucralose,0.071954952,0.071954952,
T1R3,"20211117,19_S3",AF1-18)-AF3-117),Sucrose,3.681598851197877e-4,5.695008486106852e-4,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-117),Sucralose,5.695008486106852e-4,5.695008486106852e-4,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-124),Sucrose,0.06862582,0.06862582,
T1R3,"20211117,19_S3",AF1-18)-AF3-124),Sucralose,0.007705285,0.015410569741094596,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-126),Sucrose,0.001245795,0.001245795,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-126),Sucralose,9.968376994382289e-4,0.001245795,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-127),Sucrose,8.805836297179231e-4,0.001761167,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-127),Sucralose,0.003854413,0.003854413,yes
