Batch,ref_Enzyme,Enzyme,Ligand,n_1,n_2,mean_1,mean_2,sd_1,sd_2,sem_1,sem_2,tval_onesided,df_onesided,stderr_onesided,pval_onesided,padj_onesided_FDR
20240530;20240322;20241031;20240808,UT,Gal,Lactose,9,9,52415.79833333333,99685.24666666667,11099.913154097198,25025.08469602451,3699.9710513657324,8341.694898674838,-5.179963606474022,11.030508272220718,9125.440239436246,1.505317559343166e-4,2.0070900791242213e-4
20240322;20240808;20241031;20240530,UT,Gal,Phlorizin,9,9,21182.181666666667,137488.28833333333,8506.596575921243,35779.26966418002,2835.5321919737476,11926.423221393341,-9.487508850938926,8.901536407952007,12258.866736673082,2.9924416000991487e-6,1.1969766400396595e-5
20240530;20240322;20241031;20240808,UT,RHHO,Lactose,9,9,52415.79833333333,178930.84666666668,11099.913154097198,41109.22620101174,3699.9710513657324,13703.075400337248,-8.913399939777186,9.160321349564335,14193.803620181316,4.105531528632588e-6,8.211063057265176e-6
20240322;20240808;20241031;20240530,UT,RHHO,Phlorizin,9,9,21182.181666666667,302034.6616666667,8506.596575921243,32831.825664949225,2835.5321919737476,10943.941888316409,-24.842520917712342,9.069273544718762,11305.313213996591,5.927496190699413e-10,4.74199695255953e-9
20240530;20240322;20241031;20240808,UT,Myo,Lactose,9,9,52415.79833333333,650049.6416666667,11099.913154097198,85185.9093990014,3699.9710513657324,28395.303133000463,-20.87049511139975,8.271580408982116,28635.345742559675,9.524659663794362e-9,3.809863865517745e-8
20240322;20240808;20241031;20240530,UT,Myo,Phlorizin,9,9,21182.181666666667,18031.935,8506.596575921243,5329.148697424618,2835.5321919737476,1776.3828991415394,0.9414936643701441,13.441348321260525,3346.009416615851,0.818466950403797,0.818466950403797
20240530;20240322;20241031;20240808,UT,CEOR,Lactose,9,9,52415.79833333333,209914.20666666667,11099.913154097198,45567.233993251124,3699.9710513657324,15189.077997750375,-10.074591727489246,8.946078862750257,15633.22987110114,1.7600623945194403e-6,4.693499718718507e-6
20240322;20240808;20241031;20240530,UT,CEOR,Phlorizin,9,9,21182.181666666667,28642.611666666668,8506.596575921243,7605.557018214545,2835.5321919737476,2535.1856727381814,-1.9614104149302143,15.803536160633506,3803.60476482197,0.033847511074721295,0.04513001476629506
20240530;20240322;20241031;20240808,UT,Neo,Lactose,9,9,52415.79833333333,99430.92666666667,11099.913154097198,23262.11843794864,3699.9710513657324,7754.039479316213,-5.4722454240863705,11.463459666386507,8591.560628182688,8.38425162029571e-5,1.3414802592473136e-4
20240322;20240808;20241031;20240530,UT,Neo,Phlorizin,9,9,21182.181666666667,23699.595,8506.596575921243,6249.395883691478,2835.5321919737476,2083.131961230493,-0.7154837770283542,14.687439523258664,3518.477167699038,0.24276487910994415,0.27744557612565046
20240530;20240322;20241031;20240808,UT,COAL,Lactose,9,9,52415.79833333333,121563.05333333333,11099.913154097198,41732.28885207389,3699.9710513657324,13910.762950691298,-4.803756661000478,9.12628055235422,14394.412514975042,4.656594924058724e-4,5.321822770352827e-4
20240322;20240808;20241031;20240530,UT,COAL,Phlorizin,9,9,21182.181666666667,48829.805,8506.596575921243,9990.463813185803,2835.5321919737476,3330.1546043952676,-6.32118296421204,15.603454087966496,4373.805265543317,5.710902257864583e-6,1.5229072687638888e-5
20240530;20240322;20241031;20240808,UT,LECO,Lactose,9,9,52415.79833333333,190660.88,11099.913154097198,23222.147418074703,3699.9710513657324,7740.715806024901,-16.113348605149973,11.474210874994082,8579.537689793558,1.5490455364265745e-9,1.2392364291412596e-8
20240322;20240808;20241031;20240530,UT,LECO,Phlorizin,9,9,21182.181666666667,51393.13333333333,8506.596575921243,14882.575469708276,2835.5321919737476,4960.858489902758,-5.287135254059573,12.723146621443,5714.049332002632,7.90471554549569e-5,1.5411500999827412e-4
20240530;20240322;20241031;20240808,UT,MAVI,Lactose,9,9,52415.79833333333,56940.259999999995,11099.913154097198,15318.357186974636,3699.9710513657324,5106.1190623248785,-0.7175158591106394,14.585484974460323,6305.730541307798,0.24219492058130415,0.24219492058130415
20240322;20240808;20241031;20240530,UT,MAVI,Phlorizin,9,9,21182.181666666667,53008.79666666667,8506.596575921243,16043.673941321078,2835.5321919737476,5347.891313773693,-5.257891570619376,12.168591193720733,6053.113605051169,9.632188124892132e-5,1.5411500999827412e-4
