Batch,ref_Enzyme,Enzyme,Ligand,n_1,n_2,mean_1,mean_2,sd_1,sd_2,sem_1,sem_2,tval_onesided,df_onesided,stderr_onesided,pval_onesided,padj_onesided_FDR
20241216;20241031;20250123;20241107,UT,N2,Lactose,9,9,43453.06333333333,455069.31166666665,9261.837292730112,206703.35060878232,3087.279097576704,68901.1168695941,-5.968026162325681,8.032123103249996,68970.24864464242,1.649738169037715e-4,4.292699959059867e-4
20241031;20241107;20250123;20241216,UT,N2,Phlorizin,9,9,13394.101666666667,579607.3883333333,3139.0260210125284,77116.4400669229,1046.3420070041761,25705.480022307634,-22.0087230167313,8.026510302053449,25726.766893118896,9.185614010576399e-9,2.7556842031729195e-8
20241216;20241031;20250123;20241107,UT,N10,Lactose,9,9,43453.06333333333,468431.985,9261.837292730112,76987.73586266683,3087.279097576704,25662.578620888944,-16.441706955414904,8.231515580734984,25847.615628905503,6.925201483368739e-8,4.1551208900212436e-7
20241031;20241107;20250123;20241216,UT,N10,Phlorizin,9,9,13394.101666666667,68137.94,3139.0260210125284,6820.012498758706,1046.3420070041761,2273.3374995862355,-21.874980761186873,11.243946269959702,2502.5776676551964,7.166586022844257e-11,4.2999516137065545e-10
20241216;20241031;20250123;20241107,UT,N11,Lactose,9,9,43453.06333333333,483715.58166666667,9261.837292730112,231667.68314231958,3087.279097576704,77222.56104743986,-5.696665503697508,8.025573034051126,77284.24953994124,2.2542455942842552e-4,4.292699959059867e-4
20241031;20241107;20250123;20241216,UT,N11,Phlorizin,9,9,13394.101666666667,22544.608333333334,3139.0260210125284,9003.99536245681,1046.3420070041761,3001.3317874856034,-2.8788812163671547,9.916332316518737,3178.493997822405,0.008275395417123842,0.012413093125685764
20241216;20241031;20250123;20241107,UT,N21,Lactose,9,9,43453.06333333333,187367.11166666666,9261.837292730112,99065.68952624986,3087.279097576704,33021.89650874995,-4.3392173022994065,8.139841014118188,33165.9002781611,0.0011908013535796168,0.00142896162429554
20241031;20241107;20250123;20241216,UT,N21,Phlorizin,9,9,13394.101666666667,185643.36333333334,3139.0260210125284,67415.58826256897,1046.3420070041761,22471.862754189657,-7.656812617816887,8.034688627432756,22496.209619372723,2.920779264039763e-5,5.841558528079526e-5
20241216;20241031;20250123;20241107,UT,N22,Lactose,9,9,43453.06333333333,161616.735,9261.837292730112,65119.035793718096,3087.279097576704,21706.345264572697,-5.389499043846852,8.323534552477708,21924.79685130906,2.8617999727065783e-4,4.292699959059867e-4
20241031;20241107;20250123;20241216,UT,N22,Phlorizin,9,9,13394.101666666667,16414.181666666667,3139.0260210125284,3410.84695443082,1046.3420070041761,1136.9489848102733,-1.9545561838225882,15.890902713195993,1545.1487273666048,0.03423158865135553,0.03423158865135553
20241216;20241031;20250123;20241107,UT,N23,Lactose,9,9,43453.06333333333,94893.58666666667,9261.837292730112,41146.18245010784,3087.279097576704,13715.394150035945,-3.659015912729873,8.808614756691684,14058.567811735815,0.0027189112895868797,0.0027189112895868797
20241031;20241107;20250123;20241216,UT,N23,Phlorizin,9,9,13394.101666666667,16341.816666666666,3139.0260210125284,2578.1018974213366,1046.3420070041761,859.3672991404455,-2.177025621000528,15.417617265035418,1354.0102475437443,0.022698954557875198,0.027238745469450237
