Tip_Label,In,Aq,Vt,Ca,Ne,Fr,SETe,Herb,TrophicLevel,TrophicNiche,ForagingNiche,BLFamilyLatin,final_family
Acrocephalus_mendanae,50,0,10,0,20,10,10,0,Carnivore,Invertivore,Generalist,Sylviidae,Acrocephalidae
Aimophila_sumichrasti,30,0,0,0,10,20,40,0,Herbivore,Omnivore,NA,Emberizidae,Passerellidae
Callaeas_cinereus,10,0,0,0,20,40,0,30,Herbivore,Omnivore,NA,Callaeatidae,Callaeidae
Carpodacus_mexicanus,10,0,0,0,10,10,50,20,Herbivore,Granivore,Generalist,Fringillidae,Fringillidae
Chlorospingus_ophthalmicus,70,0,0,0,10,10,10,0,Carnivore,Invertivore,Invertivore glean arboreal,Thraupidae,Passerellidae
Philesturnus_carunculatus,60,0,0,0,20,20,0,0,Carnivore,Invertivore,Invertivore ground,Callaeatidae,Callaeidae
Serinus_canaria,10,0,0,0,10,10,60,10,Herbivore,Granivore,Generalist,Fringillidae,Fringillidae
Sylvia_communis,50,0,0,0,10,30,10,0,Omnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Sylviidae
Turdus_feae,40,0,0,0,10,40,10,0,Omnivore,Omnivore,NA,Turdidae,Turdidae
Ailuroedus_melanotis,10,0,10,0,0,70,0,10,Herbivore,Frugivore,Fugivore glean,Ptilonorhynchidae,Ptilonorhynchidae
Alcippe_castaneceps,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore bark,Timaliidae,Pellorneidae
Baeolophus_inornatus,70,0,0,0,0,0,10,20,Omnivore,Invertivore,Invertivore glean arboreal,Paridae,Paridae
Baeolophus_ridgwayi,70,0,0,0,0,0,10,20,Omnivore,Invertivore,Invertivore glean arboreal,Paridae,Paridae
Carduelis_tristis,10,0,0,0,0,0,70,20,Herbivore,Granivore,Generalist,Fringillidae,Fringillidae
Cephalopyrus_flammiceps,80,0,0,0,0,0,0,20,Omnivore,Invertivore,Invertivore glean arboreal,Remizidae,Paridae
Chrysocolaptes_lucidus,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore bark,Picidae,Picidae
Colaptes_melanochloros,90,0,0,0,0,10,0,0,Carnivore,Invertivore,Invertivore bark,Picidae,Picidae
Dendrocopos_dorae,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore bark,Picidae,Picidae
Dendrocopos_himalayensis,70,0,0,0,0,10,20,0,Omnivore,Invertivore,Invertivore bark,Picidae,Picidae
Dendrocopos_hyperythrus,90,0,0,0,0,0,0,10,Carnivore,Invertivore,Invertivore bark,Picidae,Picidae
Dendrocopos_leucopterus,80,0,0,0,0,10,10,0,Carnivore,Invertivore,Invertivore bark,Picidae,Picidae
Dendrocopos_nanus,80,0,0,0,0,20,0,0,Carnivore,Invertivore,Invertivore bark,Picidae,Picidae
Francolinus_francolinus,10,0,0,0,0,0,20,70,Herbivore,Omnivore,NA,Phasianidae,Phasianidae
Francolinus_pictus,10,0,0,0,0,20,0,70,Herbivore,Omnivore,NA,Phasianidae,Phasianidae
Lonchura_fringilloides,10,0,0,0,0,0,80,10,Herbivore,Granivore,Granivore arboreal,Estrildidae,Estrildidae
Melanerpes_lewis,80,0,0,0,0,0,20,0,Omnivore,Invertivore,Invertivore sally air,Picidae,Picidae
Melanerpes_striatus,70,0,0,0,0,20,10,0,Omnivore,Invertivore,Invertivore bark,Picidae,Picidae
