"species","d"
"Smithornis_capensis",3
"Smithornis_sharpei",3
"Smithornis_rufolateralis",3
"Calyptomena_viridis",2
"Calyptomena_hosii",2
"Calyptomena_whiteheadi",2
"Cymbirhynchus_macrorhynchos",3
"Psarisomus_dalhousiae",3
"Serilophus_lunatus",3
"Eurylaimus_javanicus",3
"Eurylaimus_ochromalus",3
"Eurylaimus_steerii",3
"Eurylaimus_samarensis",3
"Corydon_sumatranus",3
"Pseudocalyptomena_graueri",3
"Sapayoa_aenigma",2
"Philepitta_castanea",1
"Philepitta_schlegeli",1
"Neodrepanis_coruscans",3
"Neodrepanis_hypoxantha",3
"Pitta_phayrei",3
"Pitta_nipalensis",3
"Pitta_soror",3
"Pitta_oatesi",3
"Pitta_caerulea",3
"Pitta_cyanea",3
"Pitta_elliotii",3
"Pitta_guajana",3
"Pitta_gurneyi",3
"Pitta_kochi",3
"Pitta_erythrogaster",3
"Pitta_arcuata",3
"Pitta_granatina",3
"Pitta_venusta",3
"Pitta_ussheri",3
"Pitta_baudii",3
"Pitta_sordida",2
"Pitta_maxima",3
"Pitta_steerii",3
"Pitta_superba",3
"Pitta_angolensis",3
"Pitta_reichenowi",3
"Pitta_brachyura",2
"Pitta_moluccensis",3
"Pitta_megarhyncha",3
"Pitta_elegans",3
"Pitta_iris",3
"Pitta_versicolor",3
"Pitta_anerythra",3
"Geositta_poeciloptera",2
"Geositta_cunicularia",2
"Geositta_punensis",2
"Geositta_antarctica",2
"Geositta_tenuirostris",2
"Geositta_maritima",2
"Geositta_peruviana",2
"Geositta_saxicolina",2
"Geositta_rufipennis",2
"Geositta_isabellina",2
"Geositta_crassirostris",2
"Ochetorhynchus_ruficaudus",3
"Ochetorhynchus_andaecola",3
"Ochetorhynchus_phoenicurus",3
"Ochetorhynchus_melanura",3
"Upucerthia_validirostris",3
"Upucerthia_albigula",3
"Upucerthia_dumetaria",3
"Upucerthia_serrana",3
"Tarphonomus_harterti",3
"Tarphonomus_certhioides",3
"Cinclodes_excelsior",3
"Cinclodes_aricomae",3
"Cinclodes_fuscus",3
"Cinclodes_comechingonus",2
"Cinclodes_pabsti",3
"Cinclodes_oustaleti",3
"Cinclodes_patagonicus",3
"Cinclodes_antarcticus",3
"Cinclodes_taczanowskii",2
"Cinclodes_nigrofumosus",2
"Cinclodes_atacamensis",3
"Cinclodes_palliatus",3
"Furnarius_minor",3
"Furnarius_figulus",3
"Furnarius_leucopus",3
"Furnarius_torridus",3
"Furnarius_rufus",3
"Furnarius_cristatus",3
"Sylviorthorhynchus_desmursii",3
"Aphrastura_spinicauda",3
"Aphrastura_masafuerae",3
"Leptasthenura_fuliginiceps",3
"Leptasthenura_yanacensis",3
"Leptasthenura_platensis",3
"Leptasthenura_aegithaloides",3
"Leptasthenura_striolata",3
"Leptasthenura_pileata",3
"Leptasthenura_xenothorax",3
"Leptasthenura_striata",3
"Leptasthenura_andicola",3
"Leptasthenura_setaria",3
"Schizoeaca_perijana",3
"Schizoeaca_fuliginosa",3
"Schizoeaca_vilcabambae",3
"Schizoeaca_coryi",3
"Schizoeaca_griseomurina",3
"Schizoeaca_palpebralis",3
"Schizoeaca_helleri",3
"Schizoeaca_harterti",3
"Oreophylax_moreirae",3
"Asthenes_pyrrholeuca",2
"Asthenes_baeri",3
"Asthenes_humicola",2
"Asthenes_patagonica",2
"Asthenes_pudibunda",3
"Asthenes_ottonis",3
"Asthenes_heterura",3
"Asthenes_modesta",3
"Asthenes_cactorum",3
"Asthenes_humilis",2
"Asthenes_arequipae",3
"Asthenes_berlepschi",3
"Asthenes_steinbachi",3
"Asthenes_luizae",3
"Asthenes_wyatti",3
"Asthenes_sclateri",3
"Asthenes_anthoides",3
"Asthenes_hudsoni",3
"Asthenes_urubambensis",3
"Asthenes_flammulata",3
"Asthenes_virgata",3
"Asthenes_maculicauda",3
"Schoeniophylax_phryganophilus",3
"Synallaxis_candei",3
"Synallaxis_kollari",3
"Synallaxis_scutata",3
"Synallaxis_unirufa",3
"Synallaxis_castanea",3
"Synallaxis_fuscorufa",3
"Synallaxis_ruficapilla",3
"Synallaxis_whitneyi",3
"Synallaxis_infuscata",3
"Synallaxis_cinnamomea",3
"Synallaxis_cinerascens",3
"Synallaxis_subpudica",3
"Synallaxis_frontalis",3
"Synallaxis_azarae",3
"Synallaxis_courseni",3
"Synallaxis_albescens",3
"Synallaxis_albigularis",3
"Synallaxis_hypospodia",3
