Ligand_ori,ori,sheet,Category,Ligand,mean,n,sd,sem
50 mM His,"20211117,19_S2",AF1-18)-AF3-116),Amino acid,Histidine,21.655783437,6,5.69990217168682,2.326975317402405
No ligand,"20211117,19_S2",AF1-18)-AF3-116),No ligand,No ligand,2.4504658923333333,6,0.5074628245724305,0.207170830605658
100 mM Sucralose,"20211117,19_S2",AF1-18)-AF3-116),Sugar,Sucralose,12.203668333666666,6,2.977626127440124,1.2156107761679635
100 mM Sucrose,"20211117,19_S2",AF1-18)-AF3-116),Sugar,Sucrose,6.5069563655,6,1.7561685748245999,0.7169528184385017
50 mM His,"20211117,19_S2",AF1-22)-AF3-116),Amino acid,Histidine,30.463238051166666,6,4.38763506511233,1.7912445145114093
No ligand,"20211117,19_S2",AF1-22)-AF3-116),No ligand,No ligand,2.4565442316666664,6,0.6011764732721141,0.24542926748043484
100 mM Sucralose,"20211117,19_S2",AF1-22)-AF3-116),Sugar,Sucralose,10.536110274666667,6,3.1489896106574413,1.285569625239366
100 mM Sucrose,"20211117,19_S2",AF1-22)-AF3-116),Sugar,Sucrose,5.8934651308333335,6,1.4302137295877904,0.5838823101021611
50 mM His,"20211117,19_S2",AF1-23)-AF3-116),Amino acid,Histidine,30.108681677,6,4.708513756112659,1.9222426915585755
No ligand,"20211117,19_S2",AF1-23)-AF3-116),No ligand,No ligand,2.262873816,6,0.5729645440303438,0.23391179559679465
100 mM Sucralose,"20211117,19_S2",AF1-23)-AF3-116),Sugar,Sucralose,12.682899777833333,6,1.1203804073343782,0.4573933859634664
100 mM Sucrose,"20211117,19_S2",AF1-23)-AF3-116),Sugar,Sucrose,6.881810297666666,6,0.6224280807448848,0.2541051999008025
50 mM His,"20211117,19_S2",AF1-24)-AF3-116),Amino acid,Histidine,28.052355406,6,7.050678132869017,2.878427294354718
No ligand,"20211117,19_S2",AF1-24)-AF3-116),No ligand,No ligand,2.2020871046666666,6,0.6672007889279609,0.27238358147598074
100 mM Sucralose,"20211117,19_S2",AF1-24)-AF3-116),Sugar,Sucralose,8.9437172525,6,2.095327678267321,0.8554139426142491
100 mM Sucrose,"20211117,19_S2",AF1-24)-AF3-116),Sugar,Sucrose,5.934167341666667,6,1.302606758164392,0.5317869821672877
50 mM His,"20211117,19_S2",AF1-25)-AF3-116),Amino acid,Histidine,17.259027646,6,3.153915047306909,1.2875804263312993
No ligand,"20211117,19_S2",AF1-25)-AF3-116),No ligand,No ligand,1.9550216761666666,6,0.3528287849176894,0.14404174826908872
100 mM Sucralose,"20211117,19_S2",AF1-25)-AF3-116),Sugar,Sucralose,2.4002117588333336,6,0.47009150771272573,0.19191405438530018
