Panel,ori,ref_chimera,chimera,ligand,n_1,n_2,mean_1,mean_2,sd_1,sd_2,sem_1,sem_2,padj_onesided,sig (padj_onesided<0.05)
T1R1,"20211117,19_S2",AF1-18)-AF3-116),AF1-24)-AF3-116),Sucrose,6,6,6506.9563655,5934.167341666666,1756.1685748245998,1302.6067581643922,716.9528184385016,531.7869821672878,0.3248468242956508,
T1R1,"20211117,19_S2",AF1-18)-AF3-116),AF1-24)-AF3-116),Sucralose,6,6,12203.668333666667,8943.7172525,2977.626127440124,2095.3276782673206,1215.6107761679634,855.4139426142489,0.030687091280713535,yes
T1R1,"20211117,19_S2",AF1-18)-AF3-116),AF1-24)-AF3-116),No ligand,6,6,2450.465892333333,2202.0871046666666,507.4628245724305,667.200788927961,207.17083060565798,272.3835814759808,0.5149029339650643,
T1R1,"20211117,19_S2",AF1-18)-AF3-116),AF1-26)-AF3-116) ,Sucrose,6,6,6506.9563655,4076.6929385000003,1756.1685748245998,875.0952203574177,716.9528184385016,357.2561277040133,0.02065077288747645,yes
T1R1,"20211117,19_S2",AF1-18)-AF3-116),AF1-26)-AF3-116) ,Sucralose,6,6,12203.668333666667,2013.5947371666666,2977.626127440124,510.4320794803818,1215.6107761679634,208.38302384578054,0.001102262569820514,yes
T1R1,"20211117,19_S2",AF1-18)-AF3-116),AF1-26)-AF3-116) ,No ligand,6,6,2450.465892333333,2006.1127296666666,507.4628245724305,517.2545031412236,207.17083060565798,211.16826664213943,0.37717061762011445,
T1R1,"20211117,19_S2",AF1-18)-AF3-116),AF1-27)-AF3-116),Sucrose,6,6,6506.9563655,3894.8664501666667,1756.1685748245998,610.5704747157557,716.9528184385016,249.2643525104166,0.01675562113335187,yes
T1R1,"20211117,19_S2",AF1-18)-AF3-116),AF1-27)-AF3-116),Sucralose,6,6,12203.668333666667,2106.6401233333336,2977.626127440124,338.6732487608921,1215.6107761679634,138.26277483247682,0.001102262569820514,yes
T1R1,"20211117,19_S2",AF1-18)-AF3-116),AF1-27)-AF3-116),No ligand,6,6,2450.465892333333,2032.1116201666666,507.4628245724305,596.375636065145,207.17083060565798,243.46933389789442,0.4229244780705416,
T1R1,"20211117,19_S2",AF1-18)-AF3-116),AF1-28)-AF3-116),Sucrose,6,6,6506.9563655,3510.170395166667,1756.1685748245998,606.4033554927252,716.9528184385016,247.56313321145527,0.01361894199126366,yes
T1R1,"20211117,19_S2",AF1-18)-AF3-116),AF1-28)-AF3-116),Sucralose,6,6,12203.668333666667,2125.2238305,2977.626127440124,646.6006535664504,1215.6107761679634,263.97361143131997,0.001102262569820514,yes
T1R1,"20211117,19_S2",AF1-18)-AF3-116),AF1-28)-AF3-116),No ligand,6,6,2450.465892333333,1984.042752,507.4628245724305,531.7716317707489,207.17083060565798,217.0948595875871,0.37717061762011445,
T1R1,"20211117,19_S2",AF1-18)-AF3-116),AF1-29)-AF3-116),Sucrose,6,6,6506.9563655,4358.4890534999995,1756.1685748245998,922.6930087544713,716.9528184385016,376.68784344697116,0.028862651615027594,yes
T1R1,"20211117,19_S2",AF1-18)-AF3-116),AF1-29)-AF3-116),Sucralose,6,6,12203.668333666667,2906.113274,2977.626127440124,579.4526882563582,1215.6107761679634,236.560569385348,0.001102262569820514,yes
T1R1,"20211117,19_S2",AF1-18)-AF3-116),AF1-29)-AF3-116),No ligand,6,6,2450.465892333333,2183.488538,507.4628245724305,586.2719842843152,207.17083060565798,239.34453533092847,0.5149029339650643,
T1R1,"20211117,19_S2",AF1-18)-AF3-116),AF1-32)-AF3-116),Sucrose,6,6,6506.9563655,4329.6866275,1756.1685748245998,1145.6697262541634,716.9528184385016,467.7177071794642,0.028862651615027594,yes
T1R1,"20211117,19_S2",AF1-18)-AF3-116),AF1-32)-AF3-116),Sucralose,6,6,12203.668333666667,3894.9541095,2977.626127440124,907.0318494616624,1215.6107761679634,370.29420193899966,0.0012377881643587617,yes
T1R1,"20211117,19_S2",AF1-18)-AF3-116),AF1-32)-AF3-116),No ligand,6,6,2450.465892333333,1843.25036,507.4628245724305,646.4677466958495,207.17083060565798,263.9193524286062,0.37717061762011445,
T1R1,"20211117,19_S2",AF1-18)-AF3-116),AF1-22)-AF3-116),Sucrose,6,6,6506.9563655,5893.465130833333,1756.1685748245998,1430.2137295877903,716.9528184385016,583.8823101021611,0.3248468242956508,
T1R1,"20211117,19_S2",AF1-18)-AF3-116),AF1-22)-AF3-116),Sucralose,6,6,12203.668333666667,10536.110274666666,2977.626127440124,3148.9896106574424,1215.6107761679634,1285.5696252393666,0.19247680789958946,
T1R1,"20211117,19_S2",AF1-18)-AF3-116),AF1-22)-AF3-116),No ligand,6,6,2450.465892333333,2456.5442316666667,507.4628245724305,601.1764732721141,207.17083060565798,245.42926748043485,0.7779493760094003,
T1R1,"20211117,19_S2",AF1-18)-AF3-116),AF1-23)-AF3-116),Sucrose,6,6,6506.9563655,6881.810297666667,1756.1685748245998,622.4280807448846,716.9528184385016,254.10519990080246,0.6804903990360749,
T1R1,"20211117,19_S2",AF1-18)-AF3-116),AF1-23)-AF3-116),Sucralose,6,6,12203.668333666667,12682.899777833332,2977.626127440124,1120.3804073343783,1215.6107761679634,457.39338596346647,0.637965729679684,
T1R1,"20211117,19_S2",AF1-18)-AF3-116),AF1-23)-AF3-116),No ligand,6,6,2450.465892333333,2262.873816,507.4628245724305,572.9645440303439,207.17083060565798,233.91179559679466,0.5384057224852493,
