Panel,ori,chimera,ligand_1,ligand_2,n_1,n_2,mean_1,mean_2,sd_1,sd_2,sem_1,sem_2,tval_onesided,df_onesided,stderr_onesided,pval_onesided,sig (padj_onesided<0.05),sig (padj_onesided<0.01)
T1R1,"20211117,19_S2",AF1-18)-AF3-116),No ligand,Histidine,6,6,2450.465892333333,21655.783437,507.4628245724305,5699.902171686821,207.17083060565798,2326.975317402405,-8.220823318110597,5.079258596296725,2336.179334052474,2.0110904723302943e-4,yes,yes
T1R1,"20211117,19_S2",AF1-24)-AF3-116),No ligand,Histidine,6,6,2202.0871046666666,28052.355406000002,667.200788927961,7050.678132869017,272.3835814759808,2878.427294354718,-8.94075008968077,5.089539878415641,2891.286306186903,1.330445973648705e-4,yes,yes
T1R1,"20211117,19_S2",AF1-26)-AF3-116) ,No ligand,Histidine,6,6,2006.1127296666666,18501.092287333333,517.2545031412236,1401.4758420169603,211.16826664213943,572.150116629827,-27.046482331185956,6.337373132079751,609.8752272360064,4.341332238765162e-8,yes,yes
T1R1,"20211117,19_S2",AF1-27)-AF3-116),No ligand,Histidine,6,6,2032.1116201666666,16504.492997,596.375636065145,3147.468442877988,243.46933389789442,1284.9486110938956,-11.066108694363638,5.358556496587745,1307.8112439112977,3.4053750989342125e-5,yes,yes
T1R1,"20211117,19_S2",AF1-28)-AF3-116),No ligand,Histidine,6,6,1984.042752,18416.62849,531.7716317707489,2297.5464174653684,217.0948595875871,937.9693971916097,-17.06811410443629,5.534167194284805,962.7651676952929,2.674340184730415e-6,yes,yes
T1R1,"20211117,19_S2",AF1-29)-AF3-116),No ligand,Histidine,6,6,2183.488538,29461.497914833333,586.2719842843152,4152.301853637501,239.34453533092847,1695.1701332374396,-15.93357003199219,5.1992727383456545,1711.9835242235877,6.493845615910662e-6,yes,yes
T1R1,"20211117,19_S2",AF1-32)-AF3-116),No ligand,Histidine,6,6,1843.25036,21927.783794333332,646.4677466958495,5377.088958345193,263.9193524286062,2195.187374916539,-9.083932359322418,5.144513544799421,2210.9954852010214,1.1641505506683048e-4,yes,yes
T1R1,"20211117,19_S2",AF1-22)-AF3-116),No ligand,Histidine,6,6,2456.5442316666667,30463.238051166667,601.1764732721141,4387.63506511233,245.42926748043485,1791.2445145114093,-15.490597563083817,5.187667867662663,1807.9802089910158,7.633280256514523e-6,yes,yes
T1R1,"20211117,19_S2",AF1-23)-AF3-116),No ligand,Histidine,6,6,2262.873816,30108.681677,572.9645440303439,4708.513756112659,233.91179559679466,1922.2426915585759,-14.380027791088095,5.1480446072772645,1936.4223953904466,1.18047699176622e-5,yes,yes
T1R1,"20211117,19_S2",AF1-25)-AF3-116),No ligand,Histidine,6,6,1955.0216761666666,17259.027646,352.8287849176894,3153.915047306908,144.0417482690887,1287.580426331299,-11.812179690616565,5.125129589708975,1295.6123569632643,3.260656254406199e-5,yes,yes
