species chrom pi za
antbird Chr01 0.0029197694805592 0.767992191364412
antbird Chr01A 0.00283194517528165 0.791809171034033
antbird Chr02 0.0029440092538279 0.761668856420204
antbird Chr03 0.00294939427078613 0.760278198091133
antbird Chr04 0.00300506430823246 0.746193735525255
antbird Chr04A 0.00309474344515788 0.724570615106093
antbird Chr05 0.00267965203526985 0.83681020227232
antbird Chr06 0.00286370190533176 0.783028484032738
antbird Chr07 0.00262383922686659 0.854610350624049
antbird Chr08 0.0026957117222865 0.831824910325211
antbird Chr09 0.00287739565771073 0.77930198985482
antbird Chr10 0.00276627784240118 0.810605546298698
antbird Chr11 0.00311877711232549 0.718986987813821
antbird Chr12 0.00299621130257784 0.748398539089796
antbird Chr13 0.00281828082043692 0.795648235404006
antbird Chr14 0.00309477194769586 0.724563941883694
antbird Chr15 0.00305933579522005 0.732956534276849
antbird Chr17 0.00279584345992134 0.802033516467578
antbird Chr18 0.00426016455195576 0.526355293159784
antbird Chr19 0.00284126475741048 0.789211971818237
antbird Chr20 0.00295360246710873 0.759194978547207
antbird Chr21 0.00322286638146555 0.695765786180037
antbird Chr22 0.00344919197516339 0.650111729877654
antbird Chr23 0.00281612399643176 0.796257609570755
antbird Chr24 0.00330015852638985 0.679470438684224
antbird Chr25 0.0037697914048756 0.594823405547976
antbird Chr26 0.00298990228455715 0.749977741157423
antbird Chr27 0.00304069868182512 0.737448986661073
antbird Chr28 0.00215645341738428 1.039837050769
antbird Chr29 0.00228335075957931 0.982048050325273
antbird ChrZ 0.00224236016165359 1
corapipo Chr01 0.00373305404893136 0.577906299719224
corapipo Chr01A 0.00356496031466407 0.605155530959419
corapipo Chr02 0.00342120766051195 0.630583018087527
corapipo Chr03 0.00356697608369202 0.604813545549991
corapipo Chr04 0.00335735711502953 0.642575507506243
corapipo Chr04A 0.00411508844214389 0.524254941880629
corapipo Chr05 0.0038941465325318 0.553999556525978
corapipo Chr06 0.00372334411723988 0.579413394018773
corapipo Chr07 0.00367753272553316 0.586631204418997
corapipo Chr08 0.00352761954481003 0.611561259559233
corapipo Chr09 0.00397003027031513 0.543410328178316
corapipo Chr10 0.00401770605816874 0.536961992947067
corapipo Chr11 0.00374809771401781 0.575586768723059
corapipo Chr12 0.00395920486642747 0.544896140728492
corapipo Chr13 0.00382420046869838 0.564132416626181
corapipo Chr14 0.00424395569311013 0.508335997845633
corapipo Chr15 0.0040181092904637 0.536908106802846
corapipo Chr17 0.00411421807287787 0.524365848833273
corapipo Chr18 0.00419511532713654 0.514254146510518
corapipo Chr19 0.00425305261075423 0.507248710400319
corapipo Chr20 0.00418643508637549 0.515320411653051
corapipo Chr21 0.0039222540988276 0.550029497761159
corapipo Chr22 0.00498816884399143 0.432494472328953
corapipo Chr23 0.00450147831554978 0.479254880472818
corapipo Chr24 0.00440137266069331 0.490155144402148
corapipo Chr25 0.00361665757936338 0.596505310422431
corapipo Chr26 0.00468415577651355 0.460564412244105
corapipo Chr27 0.00458380175821553 0.470647633965228
corapipo Chr28 0.00430406842871198 0.501236327396262
corapipo Chr29 0.00474036687405845 0.455103056237244
corapipo ChrZ 0.00215735545206979 1
empid Chr01 0.00555682627443684 0.710987124906908
empid Chr01A 0.00509225167993772 0.775851663427079
empid Chr02 0.00526275501068141 0.750715533679663
empid Chr03 0.00550894765442682 0.717166359947938
empid Chr04 0.00553329996237621 0.714010077771453
empid Chr04A 0.00549524532547866 0.718954605748175
empid Chr05 0.00530044327182192 0.745377647464378
empid Chr06 0.00532622086290348 0.741770204083369
empid Chr07 0.0053541743525277 0.73789751254623
empid Chr08 0.00546013837471482 0.723577254885113
empid Chr09 0.00491007463013513 0.80463785870405
empid Chr10 0.00479885446585132 0.823286466506364
empid Chr11 0.00494510287294255 0.798938270442512
empid Chr12 0.00502119884429533 0.786830408231616
empid Chr13 0.00511806436660278 0.771938696638836
empid Chr14 0.00527648951008327 0.748761449997968
empid Chr15 0.00538593401909092 0.733546293449741
empid Chr17 0.00478323646853364 0.825974622509138
empid Chr18 0.00521096798804094 0.75817620556029
empid Chr19 0.00503239006855618 0.785080624245515
empid Chr20 0.00533662214797502 0.740324464974189
empid Chr21 0.00464444111875553 0.850658203096701
empid Chr22 0.00430832633221484 0.917022442549741
empid Chr23 0.0047911490614806 0.824610523649227
empid Chr24 0.00469639683171777 0.841247466522957
empid Chr25 0.00461912309692079 0.855320772703098
empid Chr26 0.00530195823252885 0.74516466618497
empid Chr27 0.00514281431255231 0.768223718835431
empid Chr28 0.00502530482086074 0.786187520420366
empid Chr29 0.00414886647041076 0.952267797637232
empid ChrZ 0.00395083193646901 1
lepidothrix Chr01 0.0054240211259655 0.536838568064167
lepidothrix Chr01A 0.00524041747351635 0.555647283661785
lepidothrix Chr02 0.00539642994187814 0.539583347838238
lepidothrix Chr03 0.00487702099275764 0.597049661819614
lepidothrix Chr04 0.00524764421605945 0.554882079372304
lepidothrix Chr04A 0.00582155409132241 0.500179795418111
lepidothrix Chr05 0.00533939323537207 0.545347309339018
lepidothrix Chr06 0.00576609775050045 0.504990352298552
lepidothrix Chr07 0.00529712819018124 0.549698559270374
lepidothrix Chr08 0.00465788202642987 0.625139004786031
lepidothrix Chr09 0.00601650745812797 0.483972429965062
lepidothrix Chr10 0.00567592831649102 0.513012774659787
lepidothrix Chr11 0.00602388362859328 0.483379811753285
lepidothrix Chr12 0.00549330084472961 0.530068135118938
lepidothrix Chr13 0.00581045107339467 0.501135574094409
lepidothrix Chr14 0.00699415940870474 0.416322186021259
lepidothrix Chr15 0.0052910572553229 0.55032928087931
lepidothrix Chr17 0.0056800211470415 0.512643115057726
lepidothrix Chr18 0.0062606793793999 0.46509708578819
lepidothrix Chr19 0.00536959243901285 0.542280213533007
lepidothrix Chr20 0.00632742830632829 0.460190711525074
lepidothrix Chr21 0.00623645628766845 0.466903574738551
lepidothrix Chr22 0.00810339355038238 0.359333866275779
lepidothrix Chr23 0.00532219089145045 0.547109976662178
lepidothrix Chr24 0.00685672673121099 0.424666732182696
lepidothrix Chr25 0.00577035052987073 0.504618171693348
lepidothrix Chr26 0.0062143284180663 0.468566116645502
lepidothrix Chr27 0.00665726375176305 0.437390471970105
lepidothrix Chr28 0.00573288657672751 0.507915810899448
lepidothrix Chr29 0.00530518949120975 0.548863285512752
lepidothrix ChrZ 0.00291182373441311 1
manacus Chr01 0.00541229943796953 0.44396206421252
manacus Chr01A 0.00522569118984273 0.459815848913477
manacus Chr02 0.00482345716399857 0.498160458136064
manacus Chr03 0.00497163514592815 0.483312946362363
manacus Chr04 0.0054550800324239 0.440480362585906
manacus Chr04A 0.00551538851323234 0.435663892915677
manacus Chr05 0.00491511875073202 0.488870310663267
manacus Chr06 0.00560557170288396 0.428654873753731
manacus Chr07 0.00497348987509482 0.483132707809403
manacus Chr08 0.00548727783270401 0.437895747923727
manacus Chr09 0.00529601175718381 0.45371040337247
manacus Chr10 0.00540222194817587 0.444790246248318
manacus Chr11 0.00596004764182281 0.403160473710966
manacus Chr12 0.00566183115845684 0.424395493855052
manacus Chr13 0.00603600953262626 0.398086785255909
manacus Chr14 0.00637560421381718 0.376882809853496
manacus Chr15 0.00600504624723414 0.400139404708821
manacus Chr17 0.00657060570901072 0.36569773579961
manacus Chr18 0.00618436401182025 0.388537224850381
manacus Chr19 0.00640416124567822 0.375202237801048
manacus Chr20 0.0057848033161368 0.415373781838772
manacus Chr21 0.00473873011752714 0.507067414902944
