UCNE_name	All_manakin_variants	Fancy_manakin_variants	Index			
TLE4_Arthur	5	1	0.714285714			
TLE4_Benjamin	2	3	-0.142857143			
TLE4_Eden	1	3	0			
TLE4_Lolita	1	2	-0.2			
TLE4_Oberon	3	1	1			
TLE4_Robert	1	4	-0.333333333			
TLE4_Urania	2	5	-0.25			
