species chrom pi za
antbird Chr01 0.00394969987573124 0.715559121026548
antbird Chr01A 0.00342568710538517 0.825015153005091
antbird Chr02 0.00381056192522095 0.741686876334659
antbird Chr03 0.00383097944759835 0.737733994675616
antbird Chr04 0.0038849621104722 0.72748296921058
antbird Chr04A 0.0043758530286814 0.645872645372772
antbird Chr05 0.0035205787149388 0.80277817945225
antbird Chr06 0.00374548046769221 0.754574425304188
antbird Chr07 0.00356377275652612 0.793048256576233
antbird Chr08 0.00382183426305208 0.739499302395155
antbird Chr09 0.00358561463850383 0.788217378701974
antbird Chr10 0.00383419175078245 0.737115917799405
antbird Chr11 0.00386727309841279 0.730810496046133
antbird Chr12 0.00395427407049958 0.714731382046021
antbird Chr13 0.00371831600147367 0.76008703140798
antbird Chr14 0.00424137033634062 0.666351567365218
antbird Chr15 0.00428975369994561 0.65883590739318
antbird Chr17 0.00410895282650591 0.687825801543757
antbird Chr18 0.00445926591245744 0.633791262257202
antbird Chr19 0.00405230888284771 0.697440361310958
antbird Chr20 0.00387443431398862 0.729459720401706
antbird Chr21 0.00411619004972511 0.686616443180425
antbird Chr22 0.0061864171044555 0.456846624415517
antbird Chr23 0.00369511127789714 0.764860259636162
antbird Chr24 0.00508777178165698 0.555497355755306
antbird Chr25 0.00686117948763194 0.411918064013854
antbird Chr26 0.00484537694581164 0.583286667477941
antbird Chr27 0.00246497249989963 1.14656198862745
antbird Chr28 0.0041897068732189 0.674568378390049
antbird Chr29 0.0018828468026329 1.50104818270122
antbird ChrZ 0.00282624377139691 1
corapipo Chr01 0.00428335052784263 0.572593847743001
corapipo Chr01A 0.00405025441207537 0.605547185544003
corapipo Chr02 0.00397178874458203 0.61751022466013
corapipo Chr03 0.00402174148486607 0.609840331408347
corapipo Chr04 0.00384427515408605 0.637992875552249
corapipo Chr04A 0.00454737718754782 0.53934830096907
corapipo Chr05 0.00427979746069408 0.5730692123855
corapipo Chr06 0.00420960931789362 0.582624175964304
corapipo Chr07 0.00405003130747666 0.605580543400172
corapipo Chr08 0.00382671846277011 0.6409199380176
corapipo Chr09 0.00435388537659522 0.563317576791008
corapipo Chr10 0.00443017563578554 0.553616913098872
corapipo Chr11 0.00422673781121415 0.580263141343251
corapipo Chr12 0.00436947702587326 0.561307484956796
corapipo Chr13 0.00410811584884188 0.597018256109024
corapipo Chr14 0.00449304192116741 0.545870749261153
corapipo Chr15 0.00452852235007654 0.541593917479058
corapipo Chr17 0.00453353390606449 0.540995217150259
corapipo Chr18 0.00466588348684509 0.525649679612509
corapipo Chr19 0.00456702976130242 0.537027409094437
corapipo Chr20 0.00467781024361852 0.52430945939188
corapipo Chr21 0.0044626632160206 0.549586657394337
corapipo Chr22 0.00555455917255894 0.441550820465834
corapipo Chr23 0.0054863563307493 0.447039895353362
corapipo Chr24 0.0049769800824573 0.492792842112096
corapipo Chr25 0.00449017109585223 0.546219755909751
corapipo Chr26 0.0053680840909581 0.456889295773248
corapipo Chr27 0.0054910924995555 0.446654315178256
corapipo Chr28 0.00530210403872474 0.462574883868051
corapipo Chr29 0.00605739557852194 0.404896812198599
corapipo ChrZ 0.00245262015996942 1
empid Chr01 0.00742329107212357 0.777639367123169
empid Chr01A 0.00699124149230809 0.825696462874072
empid Chr02 0.00721704039702235 0.799862970654695
empid Chr03 0.00739459636061391 0.780656994618971
empid Chr04 0.00745229055718947 0.774613298689512
empid Chr04A 0.00732671514739677 0.787889696155077
empid Chr05 0.00703849043352795 0.82015361472954
empid Chr06 0.00732650965687343 0.787911794517541
empid Chr07 0.00733472169517124 0.787029639460978
empid Chr08 0.00693018212102453 0.832971380908505
empid Chr09 0.00666761937601877 0.865772781220766
empid Chr10 0.00676767738689014 0.852972599208052
empid Chr11 0.00697967838541597 0.827064379264118
empid Chr12 0.00646230998735558 0.893278623679802
